nama_lokasi,latitude,longitude
L5A-105,-3.47604,104.0332
L5A-106,-3.49683,104.2236
L5A-107,-3.50564,104.1613
L5A-108,-3.50669,104.2534
L5A-109,-3.47784,104.0286
L5A-110,-3.50899,104.1382
L5A-111,-3.47684,104.0408
L5A-112,-3.53478,104.217
L5A-113,-3.4814,104.1567
L5A-114,-3.53641,104.2337
L5A-115,-3.49247,104.2114
L5A-116,-3.48826,104.1927
L5A-117,-3.52403,104.232
L5A-118,-3.50228,104.2254
L5A-119,-3.46061,104.0207
L5A-120,-3.46521,104.0447
L5A-121,-3.50455,104.1578
L5A-122,-3.49326,104.1711
L5A-123,-3.54035,104.233
L5A-124,-3.48569,104.1852
L5A-125,-3.47417,104.0815
L5A-126,-3.47511,104.1568
L5A-127,-3.50843,104.2214
L5A-128 / LO 16-1,-3.47237,104.116
L5A-129,-3.52669,104.24
L5A-130,-3.53917,104.2291
L5A-131,-3.53376,104.2245
L5A-132,-3.5219,104.2341
L5A-133,-3.48275,104.1821
L5A-134,-3.50166,104.2159
L5A-135,-3.5324,104.2208
L5A-136,-3.49198,104.1856
L5A-137,-3.50461,104.1658
L5A-138,-3.53053,104.2172
L5A-139,-3.48513,104.1893
L5A-140,-3.50917,104.2045
L5A-141,-3.53735,104.238
L5A-142,-3.50754,104.1577
L5A-143,-3.51068,104.2556
L5A-144,-3.5418,104.2372
L5A-145,-3.49211,104.1894
L5A-146,-3.508,104.1632
L5A-147,-3.5333,104.2388
L5A-148,-3.49462,104.1826
L5A-149,-3.52115,104.2292
L5A-150,-3.4908,104.1679
L5A-151,-3.51027,104.1552
L5A-152,-3.50096,104.2056
L5A-153,-3.52619,104.2212
L5A-154,-3.49553,104.188
L5A-155,-3.51318,104.1539
L5A-156,-3.53016,104.225
L5A-157,-3.51523,104.2025
L5A-158,-3.47641,104.095
L5A-159,-3.52657,104.2174
L5A-160,-3.50791,104.1543
L5A-161,-3.52238,104.2164
L5A-162,-3.49876,104.1856
L5A-163,-3.49188,104.1935
L5A-164,-3.47335,104.0488
L5A-165,-3.47664,104.0444
L5A-166 / LS-19,-3.46859,104.1261
L5A-167,-3.47244,104.0532
L5A-168,-3.47274,104.1527
L5A-169,-3.48195,104.0453
L5A-170,-3.47538,104.0515
L5A-171,-3.48194,104.0453
L5A-172,-3.4704,104.0566
L5A-173,-3.5419,104.2413
L5A-174,-3.47526,104.1513
L5A-175,-3.50142,104.1803
L5A-176,-3.47017,104.1504
L5A-177,-3.47379,104.1473
L5A-178,-3.4821,104.0335
L5A-179,-3.47001,104.0509
L5A-180,-3.47741,104.1476
L5A-181,-3.5378,104.2191
L5A-182,-3.47014,104.0464
L5A-183,-3.46741,104.0543
L5A-184,-3.47915,104.1437
L5A-185,-3.4724,104.1481
L5A-186,-3.54464,104.222
L5A-187,-3.46668,104.05
L5A-188,-3.46807,104.0452
L5A-189,-3.46756,104.0587
L5A-190,-3.47587,104.1447
L5A-191,-3.48103,104.141
L5A-192,-3.46333,104.0086
L5A-193,-3.52637,104.2297
L5A-194,-3.46426,104.0581
L5A-195,-3.4644,104.0621
L5A-196,-3.4634,104.0528
L5A-197,-3.46348,104.0528
L5A-198,-3.46929,104.0619
L5A-199,-3.47491,104.0405
L5A-200,-3.47888,104.0459
L5A-201,-3.47192,104.0402
L5A-202,-3.47982,104.0422
L5A-203,-3.46902,104.0382
L5A-204,-3.46802,104.0656
L5A-205,-3.48017,104.0431
L5A-206,-3.46292,104.0275
L5A-207,-3.46255,104.0486
L5A-208,-3.47028,104.0432
L5A-209,-3.46577,104.0399
L5A-210,-3.47858,104.0366
L5A-211,-3.52217,104.2394
L5A-212,-3.52849,104.2291
L5A-213,-3.51025,104.2529
L5A-214,-3.52066,104.2461
L5A-215,-3.47019,104.0342
L5A-216,-3.50479,104.2103
L5A-217,-3.50037,104.1628
L5A-218,-3.47234,104.0554
L5A-219,-3.50235,104.2085
L5A-220,-3.51581,104.1963
L5A-221,-3.49182,104.1707
L5A-222,-3.52422,104.2293
L5A-223,-3.50029,104.2122
L5A-224,-3.48923,104.0969
L5A-225,-3.52573,104.2515
L5A-226,-3.46223,104.062
L5A-226 CEK,-3.52093,104.2294
L5A-227,-3.47598,104.0463
L5A-228,-3.484,104.0831
L5A-229,-3.52153,104.2318
L5A-230,-3.47673,104.0444
L5A-231,-3.49113,104.0982
L5A-232,-3.46183,104.06
L5A-233,-3.50468,104.2065
L5A-234,-3.539,104.239
L5A-235,-3.46178,104.06
L5A-236,-3.46198,104.06
L5A-237,-3.4619,104.06
L5A-238,-3.53721,104.2501
L5A-239,-3.45885,104.0675
L5A-240,-3.4589,104.0675
L5A-241,-3.45895,104.0674
L5A-242,-3.53726,104.25
L5A-243,-3.46204,104.0599
L5A-244,-3.45819,104.0684
L5A-245,-3.45824,104.0684
